estimators,max_depth,backend,threads,nodes,dataset,train_accuracy,train_f1,test_accuracy,test_f1,train_time,train_predict_time,test_predict_time
32,0,mpi,16,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.244274,0.0949608,0.040161199999999994
32,0,mpi,16,2,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.017784,10.279254,0.0557666
32,0,mpi,16,4,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.787066,11.396719999999998,0.0473302
32,0,mpi,16,8,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.510632,11.375798,0.0449764
32,0,mpi,32,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,3.966418,0.1017776,0.052532
32,0,mpi,32,2,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,3.065792,12.35112,0.156392
32,0,mpi,32,4,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.707394,12.48044,0.15127980000000002
32,0,mpi,32,8,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.728186,11.26334,0.9825616
32,0,omp,1,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,5.61144,0.1928398,0.0436794
32,0,omp,2,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,3.114,0.11814759999999999,0.0287566
32,0,omp,4,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.153752,0.0943402,0.030775200000000003
32,0,omp,8,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.648806,0.0863004,0.0337248
32,0,omp,16,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.920254,0.0783898,0.03999080000000001
32,0,omp,32,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,3.713888,0.5265411999999999,0.051169200000000005
32,0,seq,1,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,5.318034,0.1512994,0.0348116
64,0,ff,1,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,11.72764,0.9647224,0.5684054
64,0,ff,2,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,6.493994000000001,0.8444222,0.6059751999999999
64,0,ff,4,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,4.073658,1.065417,0.8906848
64,0,ff,8,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,3.114538,2.050338,1.809704
64,0,ff,16,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,3.9530160000000003,4.75887,4.303198
64,0,ff,32,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,5.364212,8.843196,8.248216
64,0,mpi,1,1,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,11.51096,0.205905,0.0352112
64,0,mpi,1,2,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,5.836138,9.30305,0.0305196
64,0,mpi,1,4,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,2.978298,11.0554,0.024173800000000002
64,0,mpi,1,8,iris,1.0,1.0,0.9666669999999999,0.9679629999999999,1.532242,11.78544,0.0209106
