dataset,estimators,max_depth,accuracy,f1,backend,nodes,threads,train_time,predict_time
susy20000,64,0,0.784,0.780515,ff,1,8,6645.48,7.30838
susy20000,64,0,0.784,0.780515,ff,1,8,6738.31,7.19473
susy20000,64,0,0.784,0.780515,ff,1,8,6716.07,7.45019
susy20000,64,0,0.784,0.780515,ff,1,8,6705.31,7.19974
susy20000,64,0,0.784,0.780515,ff,1,16,4460.79,8.35734
susy20000,64,0,0.784,0.780515,ff,1,16,4434.51,7.74579
susy20000,64,0,0.784,0.780515,ff,1,16,4423.33,7.33742
susy20000,64,0,0.784,0.780515,ff,1,16,4437.0,7.76783
susy20000,64,0,0.784,0.780515,ff,1,16,4465.54,8.34701
susy20000,64,0,0.784,0.780515,ff,1,32,1714.46,14.5072
susy20000,64,0,0.784,0.780515,ff,1,32,1716.57,13.5893
susy20000,64,0,0.784,0.780515,ff,1,32,1718.3,14.3379
susy20000,64,0,0.784,0.780515,ff,1,32,1714.53,14.4176
susy20000,64,0,0.784,0.780515,ff,1,32,1718.76,13.5169
susy20000,128,0,0.787,0.783508,ff,1,2,29813.3,31.9556
susy20000,128,0,0.787,0.783508,ff,1,2,29438.4,33.176
susy20000,128,0,0.787,0.783508,ff,1,2,29564.2,31.3785
susy20000,128,0,0.787,0.783508,ff,1,2,29550.5,31.7124
susy20000,128,0,0.787,0.783508,ff,1,2,30342.8,31.4585
susy20000,128,0,0.787,0.783508,ff,1,4,18088.3,19.3682
susy20000,128,0,0.787,0.783508,ff,1,4,17916.3,18.8523
susy20000,128,0,0.787,0.783508,ff,1,4,17950.2,18.6922
susy20000,128,0,0.787,0.783508,ff,1,4,18140.4,18.7903
susy20000,128,0,0.787,0.783508,ff,1,4,17696.8,18.2114
susy20000,128,0,0.787,0.783508,ff,1,8,14307.3,12.7663
susy20000,128,0,0.787,0.783508,ff,1,8,14426.1,12.8
susy20000,128,0,0.787,0.783508,ff,1,8,14425.6,12.8796
susy20000,128,0,0.787,0.783508,ff,1,8,14465.0,12.1641
susy20000,128,0,0.787,0.783508,ff,1,8,14391.9,12.8917
susy20000,128,0,0.787,0.783508,ff,1,16,11422.6,11.1234
susy20000,128,0,0.787,0.783508,ff,1,16,11261.4,9.42978
susy20000,128,0,0.787,0.783508,ff,1,16,11293.8,11.0988
