estimators,max_depth,backend,threads,nodes,dataset,accuracy,f1,train_time,predict_time
64,0,mpi,8,2,iris,0.966667,0.967963,1.6129539999999998,9.431618
64,0,mpi,8,4,iris,0.966667,0.967963,1.423684,10.036054
64,0,mpi,8,6,iris,0.966667,0.967963,1.457422,23.31258
64,0,mpi,8,8,iris,0.966667,0.967963,1.340652,9.136212
64,0,mpi,16,2,iris,0.966667,0.967963,2.232594,10.64546
64,0,mpi,16,4,iris,0.966667,0.967963,2.026228,9.8005
64,0,mpi,16,6,iris,0.966667,0.967963,1.670958,23.3876
64,0,mpi,16,8,iris,0.966667,0.967963,1.740792,9.024742
64,0,mpi,32,2,iris,0.966667,0.967963,3.707432,12.01186
64,0,mpi,32,4,iris,0.966667,0.967963,3.073456,13.56642
64,0,mpi,32,6,iris,0.966667,0.967963,2.637068,22.519528
64,0,mpi,32,8,iris,0.966667,0.967963,2.614532,12.41148
64,0,omp,2,1,iris,0.966667,0.967963,3.967698,0.0434784
64,0,omp,4,1,iris,0.966667,0.967963,2.327036,0.0475944
64,0,omp,8,1,iris,0.966667,0.967963,1.7258559999999998,0.0522823999999999
64,0,omp,16,1,iris,0.966667,0.967963,2.42611,0.0627732
64,0,omp,32,1,iris,0.966667,0.967963,3.603544,0.0678131999999999
64,0,seq,1,1,iris,0.966667,0.967963,6.782042,0.0443276
128,0,ff,2,1,iris,0.966667,0.967963,9.445814,0.6901518
128,0,ff,4,1,iris,0.966667,0.967963,5.907556,1.0547554
128,0,ff,8,1,iris,0.966667,0.967963,4.85267,2.219342
128,0,ff,16,1,iris,0.966667,0.967963,4.399832,4.876510000000001
128,0,ff,32,1,iris,0.966667,0.967963,5.694594,8.82626
128,0,mpi,8,2,iris,0.966667,0.967963,1.987228,10.77848
128,0,mpi,8,4,iris,0.966667,0.967963,1.637086,10.054722
128,0,mpi,8,6,iris,0.966667,0.967963,1.326688,23.74512
128,0,mpi,8,8,iris,0.966667,0.967963,1.50336,10.217112
128,0,mpi,16,2,iris,0.966667,0.967963,2.4462040000000003,8.266805999999999
128,0,mpi,16,4,iris,0.966667,0.967963,2.283456,9.661104
128,0,mpi,16,6,iris,0.966667,0.967963,2.143146,23.15864
128,0,mpi,16,8,iris,0.966667,0.967963,2.043826,12.20253
128,0,mpi,32,2,iris,0.966667,0.967963,4.46957,8.260328
128,0,mpi,32,4,iris,0.966667,0.967963,4.291132,11.292014
128,0,mpi,32,6,iris,0.966667,0.967963,3.162868,20.8906
128,0,mpi,32,8,iris,0.966667,0.967963,3.144666,11.522526
128,0,omp,2,1,iris,0.966667,0.967963,7.397882,0.0670568
128,0,omp,4,1,iris,0.966667,0.967963,4.03709,0.0658188
128,0,omp,8,1,iris,0.966667,0.967963,2.72292,0.0770708
128,0,omp,16,1,iris,0.966667,0.967963,2.5354520000000003,0.0690238
128,0,omp,32,1,iris,0.966667,0.967963,3.981358,0.0998292
128,0,seq,1,1,iris,0.966667,0.967963,13.36826,0.0731612
256,0,ff,2,1,iris,0.966667,0.967963,16.97898,0.6889686
256,0,ff,4,1,iris,0.966667,0.967963,9.374426,1.0214182
256,0,ff,8,1,iris,0.966667,0.967963,7.065446,2.19858
256,0,ff,16,1,iris,0.966667,0.967963,6.984438,4.778926
256,0,ff,32,1,iris,0.966667,0.967963,6.772618,9.364658
256,0,mpi,8,2,iris,0.966667,0.967963,2.914726,10.645252
256,0,mpi,8,4,iris,0.966667,0.967963,1.91528,10.159736
256,0,mpi,8,6,iris,0.966667,0.967963,1.910062,20.75954
256,0,mpi,8,8,iris,0.966667,0.967963,1.624106,10.891856
256,0,mpi,16,2,iris,0.966667,0.967963,3.168556,9.240552
256,0,mpi,16,4,iris,0.966667,0.967963,2.554676,9.407126
256,0,mpi,16,6,iris,0.966667,0.967963,2.229476,24.32704
256,0,mpi,16,8,iris,0.966667,0.967963,2.328448,6.7330380000000005
256,0,mpi,32,2,iris,0.966667,0.967963,4.666406,12.86072
256,0,mpi,32,4,iris,0.966667,0.967963,3.887838,14.668062
256,0,mpi,32,6,iris,0.966667,0.967963,4.133898,20.27914
256,0,mpi,32,8,iris,0.966667,0.967963,3.90872,14.57702
256,0,omp,2,1,iris,0.966667,0.967963,14.45062,0.1093307999999999
