estimators,max_depth,backend,threads,nodes,dataset,train_accuracy,train_f1,test_accuracy,test_f1,train_time,train_predict_time,test_predict_time
32,0,mpi,16,2,iris,1,1,0.966667,0.967963,1.65052,7.9587,0.630262
64,0,mpi,4,1,iris,1,1,0.966667,0.967963,2.05689,0.074552,0.014189
64,0,mpi,2,2,iris,1,1,0.966667,0.967963,1.92736,8.22247,0.049634
256,0,omp,1,1,iris,1,1,0.966667,0.967963,25.6762,0.684116,0.135539
64,0,ff,8,1,iris,1,1,0.966667,0.967963,3.47124,1.14811,1.18869
64,0,mpi,8,2,iris,1,1,0.966667,0.967963,2.23253,7.42552,0.250085
32,0,ff,1,1,iris,1,1,0.966667,0.967963,3.78191,0.585523,0.474827
32,0,omp,32,1,iris,1,1,0.966667,0.967963,3.41648,0.774884,0.664859
32,0,mpi,8,1,iris,1,1,0.966667,0.967963,1.54402,0.376726,0.174531
64,0,mpi,16,2,iris,1,1,0.966667,0.967963,2.36652,8.001,0.654062
64,0,omp,1,1,iris,1,1,0.966667,0.967963,6.58879,0.211,0.051388
64,0,ff,8,1,iris,1,1,0.966667,0.967963,3.31136,1.36872,1.23276
32,0,mpi,4,1,iris,1,1,0.966667,0.967963,1.14543,0.059354,0.013199
64,0,mpi,8,2,iris,1,1,0.966667,0.967963,1.64394,11.4606,0.269215
32,0,mpi,8,1,iris,1,1,0.966667,0.967963,1.46529,0.379775,0.170643
64,0,ff,4,1,iris,1,1,0.966667,0.967963,3.14118,0.879191,0.560845
128,0,ff,8,1,iris,1,1,0.966667,0.967963,5.37543,1.30314,1.15518
64,0,omp,1,1,iris,1,1,0.966667,0.967963,6.69423,0.23896,0.052172
32,0,mpi,1,1,iris,1,1,0.966667,0.967963,3.53019,0.072821,0.01586
256,0,ff,2,1,iris,1,1,0.966667,0.967963,14.4757,1.20052,0.668113
32,0,mpi,8,2,iris,1,1,0.966667,0.967963,1.36979,8.38111,0.529995
32,0,mpi,32,1,iris,1,1,0.966667,0.967963,3.157,0.79034,0.768126
256,0,omp,32,1,iris,1,1,0.966667,0.967963,9.73328,1.52663,0.886047
256,0,omp,1,1,iris,1,1,0.966667,0.967963,25.8468,0.687662,0.149232
64,0,seq,1,1,iris,1,1,0.966667,0.967963,6.55697,0.185413,0.077268
32,0,mpi,4,2,iris,1,1,0.966667,0.967963,0.739984,12.652,0.028168
256,0,omp,1,1,iris,1,1,0.966667,0.967963,25.6537,0.681571,0.13609
32,0,ff,2,1,iris,1,1,0.966667,0.967963,2.18954,0.52417,0.505902
128,0,ff,16,1,iris,1,1,0.966667,0.967963,4.59033,1.93334,1.943
64,0,mpi,2,1,iris,1,1,0.966667,0.967963,3.66653,0.098185,0.020346
